iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.126093914724,0.124980650668,0.124782546694,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.011484238
10,0.124701125845,0.124017412495,0.123496073228,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.093969039
20,0.124032218065,0.123378405237,0.12274174615,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.142610895
30,0.123266630058,0.122848840393,0.121442297551,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.189143165
40,0.122055829933,0.122486075534,0.120570687304,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.238135101
50,0.121099084922,0.122305905154,0.120305788458,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.301386806
60,0.120594716331,0.121525036175,0.120500499018,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.36857323
70,0.119702281278,0.120712877947,0.119999153956,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.419865679
80,0.119651771359,0.120791684509,0.120076423773,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.470689476
90,0.109135306565,0.111524245412,0.112521938774,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.509302889
100,0.107535400618,0.110462259383,0.111130215562,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.550033693
110,0.107510787792,0.110393378071,0.110915797251,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.591320848
120,0.106576983744,0.109501601571,0.108733173957,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.595892023
130,0.105525630314,0.10843399762,0.108936856336,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.607815371
140,0.100392080325,0.103823769853,0.103657765223,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.610794806
150,0.104507949932,0.108093373003,0.107418227597,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.612546199
160,0.0977494204656,0.101393161137,0.100407882115,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.614489735
170,0.0974507948844,0.101086940888,0.100568440425,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.616567697
180,0.0976979425958,0.100784897849,0.09968223175,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.620498772
190,0.0961818295728,0.103755369053,0.0978770014334,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.622781301
200,0.0956190800482,0.104794413445,0.098116519385,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.624969119
210,0.0950573592811,0.103128623074,0.0977543364827,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.62708291
220,0.0947235597476,0.101454772484,0.0967612173389,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,0.634551693
230,0.0794904098848,0.0848512172685,0.0845427614742,0.875375375375,0.838323353293,0.832535885167,0.882602545969,0.852459016393,0.835680751174,0.636239762
240,0.0772222624938,0.0793700512215,0.0804937248333,0.867867867868,0.85628742515,0.832535885167,0.875706214689,0.869565217391,0.838709677419,0.637961589
250,0.0764459711292,0.0803466614437,0.078697026868,0.878378378378,0.85628742515,0.832535885167,0.886713286713,0.866666666667,0.838709677419,0.639718147
260,0.0744617810299,0.0793071930879,0.0764161134057,0.878378378378,0.838323353293,0.866028708134,0.885754583921,0.852459016393,0.871559633028,0.641534227
270,0.0743450412998,0.0792586115802,0.0759582399565,0.872372372372,0.826347305389,0.875598086124,0.879432624113,0.839779005525,0.87962962963,0.643220997
280,0.0714819151751,0.076337962987,0.0730998849909,0.89039039039,0.85628742515,0.885167464115,0.897038081805,0.868131868132,0.889908256881,0.645032966
290,0.071443340912,0.0765411491734,0.0728278980298,0.885885885886,0.850299401198,0.88995215311,0.892351274788,0.861878453039,0.893023255814,0.64665704
300,0.071695004337,0.0770630913475,0.072618533526,0.885885885886,0.850299401198,0.894736842105,0.892351274788,0.861878453039,0.898148148148,0.64841916
