iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.122495704972,0.122920347554,0.122404483876,0.524024024024,0.556886227545,0.507177033493,0.555399719495,0.559523809524,0.546255506608,0.105886462
10,0.132890613609,0.132451304961,0.13285861026,0.5,0.502994011976,0.497607655502,0,0,0,1.128587715
20,0.13077486402,0.131725638582,0.129680740442,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,1.211484582
30,0.12303283189,0.127547007246,0.120833156828,0.5,0.497005988024,0.497607655502,0.666666666667,0.664,0.664536741214,1.301453171
40,0.122186840544,0.119523152134,0.12284193878,0.518018018018,0.532934131737,0.521531100478,0.644518272425,0.663793103448,0.642857142857,1.414865188
50,0.131141463208,0.131021357267,0.128178179211,0.43993993994,0.455089820359,0.478468899522,0.591456736035,0.602620087336,0.620209059233,1.476747832
60,0.117206424281,0.117766418764,0.118458403315,0.662162162162,0.688622754491,0.631578947368,0.534161490683,0.587301587302,0.468965517241,1.525792514
70,0.140484728565,0.145273444416,0.141234690462,0.421921921922,0.347305389222,0.373205741627,0.518147684606,0.446700507614,0.465306122449,1.575470717
80,0.125696965264,0.127743263602,0.124300626716,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,1.620948673
90,0.118147389279,0.119164802982,0.115362334196,0.57957957958,0.568862275449,0.612440191388,0.558359621451,0.544303797468,0.584615384615,1.674886844
100,0.120888088136,0.125395272428,0.122655230576,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,1.728329733
110,0.110880149314,0.114083251275,0.1148068562,0.5,0.497005988024,0.502392344498,0.666666666667,0.664,0.668789808917,1.780272692
120,0.107596678351,0.108903319717,0.110387204641,0.728228228228,0.688622754491,0.674641148325,0.743262411348,0.697674418605,0.682242990654,1.827355268
130,0.109662507243,0.111168070791,0.11362123623,0.687687687688,0.62874251497,0.645933014354,0.74,0.699029126214,0.69918699187,1.925452739
140,0.10393301422,0.106344391299,0.1076590746,0.731231231231,0.682634730539,0.684210526316,0.748241912799,0.719576719577,0.697247706422,1.985468443
150,0.098142292541,0.102735351722,0.101736727446,0.785285285285,0.718562874251,0.746411483254,0.796005706134,0.743169398907,0.75117370892,2.043954745
160,0.100804145076,0.105305329889,0.10509991229,0.720720720721,0.664670658683,0.688995215311,0.742382271468,0.702127659574,0.708520179372,2.087518469
170,0.101504308468,0.105496855072,0.106347033229,0.735735735736,0.670658682635,0.712918660287,0.757575757576,0.708994708995,0.734513274336,2.135924242
180,0.105149741866,0.108842234675,0.111477968454,0.713213213213,0.676646706587,0.66985645933,0.6944,0.674698795181,0.653266331658,2.182221168
190,0.0994480553626,0.105818105972,0.0992730372994,0.828828828829,0.760479041916,0.77990430622,0.829850746269,0.764705882353,0.778846153846,2.22798353
200,0.0959769498416,0.105183992689,0.0975411305572,0.783783783784,0.724550898204,0.775119617225,0.817258883249,0.77,0.804979253112,2.290467109
210,0.0870268085848,0.0925506896618,0.0899546737173,0.8003003003,0.754491017964,0.775119617225,0.822902796272,0.796019900498,0.796536796537,2.358596506
220,0.0828787073322,0.0921396412974,0.0833234389016,0.882882882883,0.826347305389,0.88038277512,0.886627906977,0.834285714286,0.885844748858,2.436718837
230,0.0837754987081,0.0920662609572,0.0875451412897,0.825825825826,0.754491017964,0.77990430622,0.848167539267,0.8,0.811475409836,2.479622251
240,0.0826051711547,0.0931995385465,0.0858201429405,0.848348348348,0.784431137725,0.827751196172,0.859916782247,0.816326530612,0.840707964602,2.526996945
250,0.0851391199096,0.0927864836126,0.0888333502131,0.815315315315,0.760479041916,0.803827751196,0.836218375499,0.79381443299,0.824034334764,2.570862593
