iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
690,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.435386342
700,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.439790555
710,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.444239808
720,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.448515853
730,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.452998012
740,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.457473387
750,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.462099815
760,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.466927278
770,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.471401165
780,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.475974106
790,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.480399346
800,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.485444339
810,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.490204725
820,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.494428108
830,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.499110885
840,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.503627331
850,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.508398439
860,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.512961219
870,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.517323321
880,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.521680472
890,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.525939862
900,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.531038768
910,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.536163186
920,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.540836516
930,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.545393864
940,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.550158803
950,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.554686937
960,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.559517717
970,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56400744
980,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.569411542
990,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.574184085
1000,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.578646672
1010,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.583065909
1020,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.587762448
1030,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.592330231
1040,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.604765048
1050,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.609550394
1060,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.614530067
1070,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.649560623
1080,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.654199748
1090,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.659116579
1100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.664465525
1110,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.669839342
1120,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.674397313
1130,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6791347
1140,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.683638503
1150,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68897687
1160,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.693976808
1170,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69935358
1180,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70421829
