iterations,fitness,time,fevals
0,24.0,0.185693049,1000
10,29.0,0.338771371,2100
20,30.0,0.478304015,3200
30,36.0,0.60633284,4300
40,38.0,0.714520479,5400
50,44.0,0.837828255,6500
60,54.0,0.990362979,7600
70,57.0,1.121329361,8700
80,58.0,1.268807819,9800
90,53.0,1.400869323,10900
100,53.0,1.53712166,12000
110,63.0,1.663790518,13100
120,56.0,1.790020367,14200
130,55.0,1.897497052,15300
140,56.0,2.02189641,16400
150,57.0,2.131434146,17500
160,56.0,2.257350889,18600
170,58.0,2.374266882,19700
180,58.0,2.508097955,20800
190,57.0,2.622897622,21900
200,57.0,2.762505425,23000
210,60.0,2.880984853,24100
220,58.0,3.013194839,25200
230,57.0,3.148085573,26300
240,58.0,3.265403852,27400
250,59.0,3.413685586,28500
260,67.0,3.520118802,29600
270,60.0,3.631163974,30700
280,62.0,3.854537763,31800
290,61.0,3.989033371,32900
300,68.0,4.099715691,34000
310,68.0,4.205416977,35100
320,70.0,4.341533474,36200
330,68.0,4.457700789,37300
340,70.0,4.601512133,38400
350,69.0,4.736812937,39500
360,68.0,4.846493875,40600
370,59.0,4.984563117,41700
380,62.0,5.108515044,42800
390,61.0,5.220610887,43900
400,68.0,5.345944433,45000
410,68.0,5.473151533,46100
420,69.0,5.597086143,47200
430,61.0,5.733497103,48300
440,68.0,5.844619211,49400
450,68.0,5.98047551,50500
460,69.0,6.108381888,51600
470,69.0,6.24351201,52700
480,68.0,6.489543899,53800
490,65.0,6.622909854,54900
500,68.0,6.782262162,56000
510,69.0,6.989501638,57100
520,69.0,7.11821218,58200
530,70.0,7.238078579,59300
540,60.0,7.357811945,60400
550,60.0,7.474162387,61500
560,68.0,7.584384085,62600
570,68.0,7.711908782,63700
580,68.0,7.81365376,64800
590,68.0,7.948388734,65900
600,69.0,8.074263715,67000
610,70.0,8.17964317,68100
620,70.0,8.311029254,69200
630,69.0,8.44390112,70300
640,70.0,8.573516946,71400
650,70.0,8.689053869,72500
660,70.0,8.807380356,73600
670,71.0,8.939522425,74700
680,70.0,9.07280216,75800
690,71.0,9.203476075,76900
700,68.0,9.318845006,78000
710,70.0,9.438616063,79100
720,70.0,9.547303829,80200
730,70.0,9.683499735,81300
740,71.0,9.818095823,82400
750,71.0,9.938702152,83500
760,70.0,10.048125109,84600
770,70.0,10.185100475,85700
780,70.0,10.303703343,86800
790,71.0,10.445877334,87900
800,70.0,10.589587315,89000
810,70.0,10.729161149,90100
820,69.0,10.85959379,91200
830,69.0,10.990329078,92300
840,70.0,11.10668539,93400
850,68.0,11.220849737,94500
860,70.0,11.348926618,95600
870,70.0,11.484664576,96700
880,70.0,11.608820343,97800
890,69.0,11.724068181,98900
900,69.0,11.844127149,100000
910,70.0,11.960101464,101100
920,70.0,12.092094833,102200
930,68.0,12.23940825,103300
940,70.0,12.37237203,104400
950,68.0,12.510618803,105500
960,68.0,12.614632797,106600
970,70.0,12.72361924,107700
980,68.0,12.83710317,108800
990,69.0,12.968808528,109900
1000,70.0,13.086472315,111000
1010,68.0,13.235143763,112100
1020,68.0,13.341865309,113200
1030,70.0,13.482665012,114300
1040,71.0,13.624935763,115400
1050,70.0,13.735927576,116500
1060,70.0,13.840643839,117600
1070,70.0,13.963225386,118700
1080,70.0,14.076087998,119800
1090,69.0,14.204594373,120900
1100,69.0,14.305928233,122000
1110,70.0,14.427311454,123100
1120,68.0,14.55379025,124200
1130,68.0,14.668916838,125300
1140,69.0,14.791111576,126400
1150,70.0,14.892531498,127500
1160,70.0,15.017958899,128600
1170,70.0,15.127478548,129700
1180,71.0,15.240727452,130800
1190,70.0,15.351852389,131900
1200,70.0,15.466931171,133000
1210,69.0,15.574369436,134100
1220,70.0,15.674281465,135200
1230,70.0,15.813677813,136300
1240,70.0,15.924170895,137400
1250,69.0,16.049694565,138500
1260,71.0,16.166275244,139600
1270,70.0,16.298185807,140700
1280,68.0,16.401348558,141800
1290,70.0,16.526028197,142900
1300,70.0,16.640363084,144000
1310,70.0,16.753146569,145100
1320,71.0,16.872892521,146200
1330,71.0,16.988450288,147300
1340,68.0,17.114046182,148400
1350,70.0,17.233138883,149500
1360,68.0,17.37845821,150600
1370,68.0,17.522919449,151700
1380,68.0,17.661576539,152800
1390,69.0,17.800648631,153900
1400,69.0,17.911259547,155000
1410,68.0,18.021295713,156100
1420,68.0,18.152786491,157200
1430,70.0,18.309312316,158300
1440,68.0,18.439219696,159400
1450,71.0,18.563213469,160500
1460,70.0,18.689490637,161600
1470,70.0,18.793003509,162700
1480,70.0,18.918321559,163800
1490,69.0,19.032523498,164900
1500,70.0,19.151716444,166000
1510,70.0,19.260875915,167100
1520,69.0,19.386772489,168200
1530,69.0,19.516866582,169300
1540,69.0,19.629958787,170400
1550,70.0,19.769223588,171500
1560,70.0,19.912346863,172600
1570,70.0,20.039005924,173700
1580,70.0,20.172137932,174800
1590,70.0,20.341179777,175900
1600,69.0,20.509402961,177000
1610,70.0,20.626642011,178100
1620,68.0,20.734857801,179200
1630,70.0,20.84717438,180300
1640,71.0,20.957832974,181400
1650,68.0,21.10252526,182500
1660,70.0,21.230973842,183600
1670,70.0,21.362901948,184700
1680,70.0,21.485531365,185800
1690,68.0,21.616315497,186900
1700,70.0,21.727877562,188000
1710,70.0,21.829963347,189100
1720,70.0,21.965385267,190200
1730,70.0,22.086445217,191300
1740,70.0,22.203331306,192400
1750,69.0,22.31867898,193500
1760,68.0,22.443283559,194600
1770,69.0,22.546121616,195700
1780,69.0,22.682438277,196800
1790,70.0,22.795409713,197900
1800,71.0,22.927815765,199000
1810,70.0,23.053501594,200100
1820,70.0,23.184132271,201200
1830,69.0,23.299284055,202300
1840,68.0,23.430614893,203400
1850,69.0,23.564692349,204500
1860,70.0,23.688886028,205600
1870,70.0,23.814005667,206700
1880,69.0,23.934371358,207800
1890,69.0,24.071832836,208900
1900,69.0,24.193291946,210000
1910,70.0,24.307765538,211100
1920,70.0,24.421490568,212200
1930,70.0,24.538358388,213300
1940,69.0,24.662489803,214400
1950,70.0,24.776598011,215500
1960,69.0,24.907133898,216600
1970,68.0,25.02315689,217700
1980,70.0,25.128732532,218800
1990,69.0,25.253124231,219900
2000,70.0,25.378258482,221000
2010,68.0,25.492440196,222100
2020,70.0,25.616337948,223200
2030,70.0,25.748025373,224300
2040,70.0,25.86154402,225400
2050,68.0,25.996699151,226500
2060,70.0,26.116069947,227600
2070,71.0,26.249532056,228700
2080,71.0,26.361380942,229800
2090,69.0,26.488619922,230900
2100,70.0,26.592746054,232000
2110,70.0,26.719024005,233100
2120,70.0,26.826402198,234200
2130,69.0,26.95017742,235300
2140,71.0,27.070822348,236400
2150,71.0,27.190824588,237500
2160,73.0,27.301415977,238600
2170,70.0,27.431785234,239700
2180,69.0,27.586057826,240800
2190,69.0,27.707793582,241900
2200,71.0,27.827462403,243000
2210,71.0,27.945556002,244100
2220,71.0,28.049605125,245200
2230,72.0,28.162557984,246300
2240,71.0,28.270202965,247400
2250,69.0,28.391027486,248500
2260,71.0,28.5163196,249600
2270,70.0,28.653967745,250700
2280,70.0,28.762416532,251800
2290,69.0,28.87483524,252900
2300,70.0,28.981456839,254000
2310,76.0,29.098733782,255100
2320,69.0,29.231823753,256200
2330,69.0,29.334785533,257300
2340,69.0,29.477963274,258400
2350,70.0,29.620299596,259500
2360,70.0,29.737487365,260600
2370,70.0,29.839281816,261700
2380,71.0,29.952307907,262800
2390,71.0,30.062014647,263900
2400,69.0,30.178844764,265000
2410,71.0,30.304677317,266100
2420,72.0,30.433586029,267200
2430,71.0,30.546398115,268300
2440,71.0,30.661722059,269400
2450,71.0,30.770310321,270500
2460,72.0,30.892359311,271600
2470,69.0,31.014915415,272700
2480,70.0,31.141067351,273800
2490,74.0,31.274619734,274900
2500,70.0,31.399146536,276000
2510,71.0,31.50159244,277100
2520,71.0,31.622538746,278200
2530,71.0,31.763677279,279300
2540,73.0,31.875725745,280400
2550,71.0,32.001973745,281500
2560,69.0,32.132266906,282600
2570,70.0,32.24805963,283700
2580,71.0,32.378359981,284800
2590,71.0,32.519543981,285900
2600,69.0,32.681079858,287000
2610,70.0,32.782749014,288100
2620,71.0,32.906757252,289200
2630,70.0,33.011923709,290300
2640,72.0,33.140001582,291400
2650,70.0,33.267249743,292500
2660,69.0,33.408708169,293600
2670,70.0,33.535501952,294700
2680,71.0,33.659191533,295800
2690,71.0,33.766949893,296900
2700,71.0,33.89911158,298000
2710,71.0,34.026849334,299100
2720,70.0,34.148247168,300200
2730,70.0,34.265554742,301300
2740,72.0,34.385156659,302400
2750,71.0,34.534469416,303500
2760,70.0,34.649713879,304600
2770,70.0,34.776965654,305700
2780,69.0,34.914007233,306800
2790,69.0,35.029718774,307900
2800,76.0,35.160545414,309000
2810,72.0,35.31453414,310100
2820,72.0,35.437741161,311200
2830,71.0,35.530910477,312300
2840,70.0,35.675329102,313400
2850,71.0,35.80430654,314500
2860,71.0,35.929263582,315600
2870,70.0,36.056567028,316700
2880,70.0,36.183632356,317800
2890,71.0,36.293573067,318900
2900,71.0,36.41740998,320000
2910,71.0,36.541188538,321100
2920,71.0,36.6686624,322200
2930,71.0,36.790589688,323300
2940,71.0,36.940258432,324400
2950,71.0,37.057870307,325500
2960,69.0,37.173273022,326600
2970,72.0,37.286053054,327700
2980,70.0,37.387528315,328800
2990,69.0,37.506301781,329900
3000,71.0,37.614837823,331000
3010,70.0,37.728218488,332100
3020,70.0,37.854157012,333200
3030,69.0,37.967650655,334300
3040,71.0,38.093123028,335400
3050,71.0,38.216576382,336500
3060,71.0,38.318651131,337600
3070,71.0,38.455965192,338700
3080,69.0,38.591799301,339800
3090,69.0,38.704320295,340900
3100,71.0,38.805372026,342000
3110,71.0,38.916763429,343100
3120,70.0,39.038371373,344200
3130,69.0,39.21178969,345300
3140,71.0,39.326180977,346400
3150,72.0,39.46610551,347500
3160,69.0,39.58029835,348600
3170,71.0,39.703559676,349700
3180,73.0,39.819682566,350800
3190,72.0,39.95398777,351900
3200,71.0,40.08874609,353000
3210,71.0,40.227393755,354100
3220,70.0,40.359614918,355200
3230,72.0,40.472757315,356300
3240,70.0,40.580313301,357400
3250,69.0,40.709828024,358500
3260,72.0,40.855772788,359600
3270,72.0,40.968043748,360700
3280,69.0,41.101129569,361800
3290,71.0,41.225487464,362900
3300,71.0,41.348075103,364000
3310,71.0,41.455000947,365100
3320,71.0,41.575184522,366200
