iterations,fitness,time,fevals
0,14.0,1.17780000011e-05,11
10,15.0,2.41249999959e-05,21
20,15.0,3.76979999928e-05,31
30,18.0,9.65319999935e-05,41
40,18.0,0.000109802999994,51
50,18.0,0.000118788999998,61
60,19.0,0.000127588999995,71
70,20.0,0.000137355999996,81
80,20.0,0.000146524000002,91
90,20.0,0.000158390000003,101
100,20.0,0.000171447999996,111
110,20.0,0.000588674999996,121
120,20.0,0.000690587000001,131
130,20.0,0.000698716000002,141
140,20.0,0.000707739000006,151
150,20.0,0.000719093000008,161
160,21.0,0.000730609000009,171
170,21.0,0.000832457000008,181
180,21.0,0.000842371000005,191
190,21.0,0.000854869000008,201
200,21.0,0.000866640000012,211
210,21.0,0.000874729000017,221
220,22.0,0.00101149300002,231
230,23.0,0.00102356500002,241
240,23.0,0.00103362000002,251
250,24.0,0.00104067500003,261
260,25.0,0.00104970500003,271
270,26.0,0.00106653400003,281
280,26.0,0.00107643400003,291
290,26.0,0.00108426400003,301
300,26.0,0.00109522800003,311
310,27.0,0.00110512100003,321
320,28.0,0.00111332300003,331
330,28.0,0.00112231400004,341
340,28.0,0.00113030500004,351
350,28.0,0.00113871900004,361
360,28.0,0.00114891500004,371
370,28.0,0.00115910100003,381
380,28.0,0.00117005100004,391
390,28.0,0.00118223100004,401
400,28.0,0.00119637900004,411
410,28.0,0.00121273100004,421
420,28.0,0.00122858500004,431
430,28.0,0.00124554100003,441
440,31.0,0.00126750000003,451
450,31.0,0.00128830100004,461
460,31.0,0.00130671200004,471
470,31.0,0.00133758300004,481
480,31.0,0.00135633000004,491
490,32.0,0.00137333200004,501
500,32.0,0.00139143200004,511
510,32.0,0.00141569100004,521
520,32.0,0.00143446400004,531
530,32.0,0.00145327100005,541
540,33.0,0.00146847800005,551
550,33.0,0.00148624100005,561
560,33.0,0.00150329200005,571
570,33.0,0.00151992800005,581
580,33.0,0.00153698400005,591
590,33.0,0.00155408600006,601
600,33.0,0.00157059900006,611
610,33.0,0.00158938400006,621
620,33.0,0.00160686200006,631
630,33.0,0.00162643700006,641
640,33.0,0.00164399800006,651
650,34.0,0.00166340600006,661
660,34.0,0.00168169700006,671
670,34.0,0.00170224100005,681
680,34.0,0.00172529100005,691
690,34.0,0.00174465500005,701
700,34.0,0.00176309500005,711
710,34.0,0.00178425900005,721
720,35.0,0.00180298900005,731
730,35.0,0.00182227100006,741
740,35.0,0.00184214400006,751
750,35.0,0.00186052900006,761
760,35.0,0.00187938100007,771
770,35.0,0.00189694200007,781
780,35.0,0.00191406400007,791
790,37.0,0.00193079600007,801
800,37.0,0.00194750700006,811
810,37.0,0.00196725400006,821
820,37.0,0.00198752400006,831
830,41.0,0.00200440000006,841
840,41.0,0.00202128100006,851
850,41.0,0.00203802600006,861
860,41.0,0.00205485500007,871
870,41.0,0.00207148700007,881
880,41.0,0.00208654700007,891
890,41.0,0.00210394400007,901
900,41.0,0.00212216100007,911
910,41.0,0.00213810200007,921
920,41.0,0.00215446000007,931
930,41.0,0.00217249400007,941
940,41.0,0.00218825300007,951
950,41.0,0.00220592000007,961
960,41.0,0.00222343500006,971
970,41.0,0.00223934800006,981
980,41.0,0.00225537400006,991
990,41.0,0.00227738600006,1001
1000,41.0,0.00229494300006,1011
1010,41.0,0.00231286400006,1021
1020,41.0,0.00232921300006,1031
1030,41.0,0.00234513400006,1041
1040,41.0,0.00236160100006,1051
1050,41.0,0.00240430600006,1061
1060,41.0,0.00242425100006,1071
1070,41.0,0.00244512600006,1081
1080,41.0,0.00246651300007,1091
1090,41.0,0.00248718000007,1101
1100,41.0,0.00250763400007,1111
1110,41.0,0.00252765000007,1121
1120,41.0,0.00255199200006,1131
1130,41.0,0.00256850700006,1141
1140,41.0,0.00258448300006,1151
1150,41.0,0.00260201000006,1161
1160,41.0,0.00261972700006,1171
1170,41.0,0.00263873100006,1181
1180,41.0,0.00265614200006,1191
1190,41.0,0.00267361700006,1201
1200,41.0,0.00269570000007,1211
1210,41.0,0.00271595900007,1221
1220,41.0,0.00273414900007,1231
1230,42.0,0.00275143700006,1241
1240,42.0,0.00276833700006,1251
1250,42.0,0.00278712600006,1261
1260,42.0,0.00281294800006,1271
1270,42.0,0.00283231200007,1281
1280,42.0,0.00285357800006,1291
1290,42.0,0.00287174600006,1301
1300,42.0,0.00321828700006,1311
1310,43.0,0.00323605700006,1321
1320,43.0,0.00325280900006,1331
1330,43.0,0.00326869800006,1341
1340,43.0,0.00328903500007,1351
1350,43.0,0.00330657400006,1361
1360,43.0,0.00332701800006,1371
1370,43.0,0.00334439900006,1381
1380,43.0,0.00336124000006,1391
1390,43.0,0.00337821600006,1401
1400,43.0,0.00339908400006,1411
1410,43.0,0.00341634000006,1421
1420,43.0,0.00343242400006,1431
1430,43.0,0.00344889200006,1441
1440,43.0,0.00346548800006,1451
1450,43.0,0.00348218600006,1461
1460,43.0,0.00376971600006,1471
1470,43.0,0.00378983300006,1481
1480,43.0,0.00380862900005,1491
1490,43.0,0.00382972900005,1501
1500,43.0,0.00403027200005,1511
