iterations,fitness,time,fevals
0,25.0,0.228811612,1000
10,45.0,0.491342369,2100
20,54.0,0.676965523,3200
30,55.0,0.8706294,4300
40,54.0,1.055194592,5400
50,57.0,1.250689862,6500
60,58.0,1.450217822,7600
70,51.0,1.634266356,8700
80,49.0,1.818431382,9800
90,45.0,1.952028066,10900
100,45.0,2.112514158,12000
110,45.0,2.256484327,13100
120,46.0,2.386281872,14200
130,45.0,2.498664471,15300
140,45.0,2.618253784,16400
150,45.0,2.723327584,17500
160,46.0,2.855219341,18600
170,45.0,2.980366305,19700
180,48.0,3.103651305,20800
190,45.0,3.209222503,21900
200,45.0,3.337375553,23000
210,46.0,3.465280739,24100
220,45.0,3.582757726,25200
230,45.0,3.70867057,26300
240,50.0,3.832243331,27400
250,44.0,3.9685525,28500
260,44.0,4.098986838,29600
270,45.0,4.232214109,30700
280,45.0,4.345987237,31800
290,45.0,4.483942329,32900
300,45.0,4.603480774,34000
310,46.0,4.7248415,35100
320,47.0,4.858488723,36200
330,47.0,4.975233192,37300
340,45.0,5.095568903,38400
350,46.0,5.214758197,39500
360,47.0,5.346467671,40600
370,46.0,5.471276197,41700
380,45.0,5.601038863,42800
390,46.0,5.718637494,43900
400,45.0,5.850873775,45000
410,45.0,5.977448085,46100
420,51.0,6.091891656,47200
430,46.0,6.210202858,48300
440,46.0,6.335204846,49400
450,47.0,6.459715427,50500
460,49.0,6.581966427,51600
470,46.0,6.711247169,52700
480,47.0,6.839587538,53800
490,51.0,6.963870747,54900
500,46.0,7.088298277,56000
510,46.0,7.208291124,57100
520,47.0,7.347941892,58200
530,47.0,7.473991207,59300
540,46.0,7.596670994,60400
550,49.0,7.745073364,61500
560,49.0,7.873328084,62600
570,48.0,8.000991349,63700
580,47.0,8.118791575,64800
590,47.0,8.236342659,65900
600,48.0,8.375378075,67000
610,46.0,8.491342042,68100
620,45.0,8.597579064,69200
630,49.0,8.726070852,70300
640,50.0,8.858181912,71400
650,45.0,9.003896407,72500
660,48.0,9.143075216,73600
670,46.0,9.258153651,74700
680,46.0,9.378635323,75800
690,46.0,9.52533918,76900
700,46.0,9.649139318,78000
710,46.0,9.762756222,79100
720,46.0,9.901763086,80200
730,57.0,10.035355578,81300
740,47.0,10.162073282,82400
750,49.0,10.296137252,83500
760,47.0,10.414750689,84600
770,46.0,10.541452433,85700
780,48.0,10.679043988,86800
790,49.0,10.809950051,87900
800,46.0,10.949372382,89000
810,50.0,11.077729154,90100
820,46.0,11.204307337,91200
830,49.0,11.323528946,92300
